key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,ShopName,,,,,,,,,,,,,,,,,,
int32,str,int32,int32,int32,int32,int32,int32,int32,int32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,bit&01,bit&02
3473408,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473409,"Spoils Trader",1,4,4,2,3,0,0,0,0,235,210,0,0,0,0,0,True,False
3473410,"Certificate Exchange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473411,"Currency Exchange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473412,"Currency Exchange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473413,"Currency Exchange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473414,"Currency Exchange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473415,"Currency Exchange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473416,"Currency Exchange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473417,"Currency Exchange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473418,"Currency Exchange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473419,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473420,"Field Notes Exchange (Lockbox)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473421,"Field Notes Exchange (Other)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473422,"Field Notes Exchange (Other)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473423,"不用品の交換",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473424,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473425,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473426,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473427,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473428,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473429,"Resistance Token Acquisition (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473430,"Resistance Token Acquisition (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473431,"Resistance Token Acquisition (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473432,"Rakshasa Token Acquisition (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473433,"Rakshasa Token Acquisition (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473434,"Rakshasa Token Acquisition (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473435,"Eulmoran Certificates of Import (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473436,"Eulmoran Certificates of Import (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473437,"Eulmoran Certificates of Import (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473438,"Eulmoran Certificates of Novelty (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473439,"Eulmoran Certificates of Novelty (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473440,"Eulmoran Certificates of Novelty (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473441,"Eulmoran Certificates of Grandeur (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473442,"Eulmoran Certificates of Grandeur (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473443,"Eulmoran Certificates of Grandeur (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473444,"Hannish Certificates of Grade 1 Import (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473445,"Hannish Certificates of Grade 1 Import (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473446,"Hannish Certificates of Grade 1 Import (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473447,"Hannish Certificates of Grade 2 Import (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473448,"Hannish Certificates of Grade 2 Import (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473449,"Hannish Certificates of Grade 2 Import (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473450,"Hannish Certificates of Grade 3 Import (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473451,"Hannish Certificates of Grade 3 Import (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473452,"Hannish Certificates of Grade 3 Import (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473453,"Everkeep Certificates of Grade 1 Import (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473454,"Everkeep Certificates of Grade 1 Import (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473455,"Everkeep Certificates of Grade 1 Import (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473456,"Everkeep Certificates of Grade 2 Import (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473457,"Everkeep Certificates of Grade 2 Import (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473458,"Everkeep Certificates of Grade 2 Import (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473459,"Everkeep Certificates of Grade 3 Import (Weapons)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473460,"Everkeep Certificates of Grade 3 Import (Gear)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473461,"Everkeep Certificates of Grade 3 Import (Accessories)",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473462,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
